Mumbo Gumbo PDX,Portland,OR,45.478473,-122.649048,24,6200 SE Milwaukie Ave,97202,mumbogumbopdx.com
Garlic Yuzu,Las Vegas,NV,36.057214,-115.278466,25,7250 S Durango Dr,89113,N/A
Mr bibi,Oceanside,CA,33.197241,-117.37953,26,208 N Coast Hwy,92054,mrbibioceanside.com
Bulegreen Yard Cafe,Oakland Park,FL,26.169476,-80.131736,27,3299 N Dixie Hwy,33334,bulegreen.us
Sky Rocket Burger,Dallas,TX,32.999211,-96.768966,28,7877 Frankford Rd #101B,75252,skyrocketburger.com
Scotty's Cafe,Columbus ,OH,39.972125,-82.921335,29,2980 E Broad St,43209,cafecolumbusoh.com
The Aussie Grind,Frisco,TX,33.112219,-96.804932,30,3930 Preston Rd #120,75035,theaussiegrind.com
Greek Unique,Ashburn ,VA,39.024278,-77.456081,31,44632 Guilford Dr STE 107,20147,greekuniqueva.com
Yahya's Mediterranean Grill & Pastries,Denver,CO,39.740955,-104.960767,32,2207 E Colfax Ave,80206,https://www.facebook.com/YahyaAmeen2019/?modal=admin_todo_tour
Nini's Deli,Chicago,IL,41.892955,-87.661923,33,543 N Noble St,60642,ninisdeli.com
Lewis Barbeque,Charleston,SC,32.80959,-79.946646,34,464 N Nassau St,29403,lewisbarbecue.com
Daybreak Pleasant Street,Gainesville ,FL,29.656559,-82.328142,35,308 NW 5 Ave,32601,daybreakgnv.com
Otis,Brooklyn,NY,40.706936,-73.932555,36,18 Harrison Pl,11206,otisbk.com
ACHILLES,Santa Clara,CA,37.33842,-121.950718,37,2521 Newhall St,95050,https://achilles-middle-eastern-restaurant.business.site/?utm_source=gmb&utm_medium=referral
Gotta B Crepes,Evanston,IL,42.065229,-87.71472,38,2901 Central St,60201,gottabcrepes.com
Taqueria La Familia ,Denver,CO,39.762615,-105.020063,39,2642 W 32nd Ave,80211,N/A
Hometown Cafe & Poke Bar,Providence,RI,41.844205,-71.402282,40,185 Camp St,2906,hometownpoke.com
Zaap Thai,Portland,OR,45.549057,-122.662037,41,3513 NE Martin Luther King Jr Blvd,97212,https://www.facebook.com/Zaap-Thai-101320251243484/
Asiana Thai & Sushi,Cincinnati,OH,39.15149,-84.442206,42,3922 Edwards Rd,45209,asianathaisushi.com
Selam Ethiopian & Eritrean Cuisinse,Orlando,FL,28.4075,-81.450276,43,5494 Central Florida Pkwy,32821,ethiopianrestaurantorlando.com
Chellas Arepa Kitchen,Lancaster,PA,40.052552,-76.259395,44,1830 Hempstead Rd,17601,chellasarepakitchen.com
New Mexico Tamale Co,Ferndale,WA,48.848379,-122.592365,45,5687 3rd Ave,98248,nmtamale.com
German Knoodle,St. Petersburg,FL,27.771974,-82.648352,46,951 Central Ave,33701,germanknoodle.com
Kuji Asian Grill,Woodland,CA,38.663726,-121.741011,47,1801 E Gibson Rd A,95776,kujiasiangrill.com
Bombay,Red Bank,NJ,40.349731,-74.065749,48,90 Broad St,7701,bombayriver.com
Carmelina's ,Boston,MA,42.364567,-71.053911,49,307 Hanover St,2113,carmelinasboston.com
Arario Midtown,Reno,NV,39.518801,-119.808595,50,777 South Center Street Ste 200 SECOND FLOOR,89501,arariomidtown.com
